source,similarity,target,rank
75,0.0037828354866775715,0,1
120,0.0038148271978805104,0,2
69,0.0038222140219408285,0,3
24,0.003836208323611867,0,4
68,0.003841783505150742,0,5
23,0.003863359768834118,0,6
13,0.0038726940544074884,0,7
113,0.0038758024627386645,0,8
74,0.0038795842330258123,0,9
4,0.0038817140036220277,0,10
72,0.003889544528456801,0,11
45,0.0039028554910712776,0,12
16,0.003909437139280825,0,13
90,0.00391823064688801,0,14
83,0.003931815273292338,0,15
82,0.003936578243082356,0,16
8,0.003943762399006734,0,17
30,0.003960405010445367,0,18
41,0.003974098430005069,0,19
81,0.0039828391219977055,0,20
110,0.003992640248593249,0,21
80,0.004000562727080159,0,22
51,0.004001357246301462,0,23
85,0.004003258063701054,0,24
86,0.004021182863141348,0,25
28,0.0040254283156290205,0,26
37,0.004029918451495251,0,27
1,0.004044891033037179,0,28
56,0.0040480615061353475,0,29
34,0.004049795928085742,0,30
119,0.004055109162415804,0,31
63,0.004057970580258918,0,32
117,0.004068139718315322,0,33
27,0.004077253382922974,0,34
31,0.004086810419900444,0,35
19,0.004098494302367861,0,36
93,0.00413024793964456,0,37
77,0.004136302975185191,0,38
47,0.0041474957046021554,0,39
107,0.00415231429014451,0,40
65,0.00416901502933098,0,41
79,0.0042038380557746224,0,42
14,0.0042303328580372,0,43
12,0.004317452735992711,0,44
87,0.004409277856086025,0,45
5,0.004420709300394177,0,46
29,0.004538156267414828,0,47
35,0.004697803048148819,0,48
111,0.004979084209429052,0,49
76,0.004984731445045187,0,50
64,0.005032794506055871,0,51
97,0.005124719676563805,0,52
48,0.00516774573352119,0,53
116,0.005348257471827322,0,54
96,0.005450326656416871,0,55
17,0.005495337763055663,0,56
73,0.005703126359745125,0,57
22,0.0057164114309414815,0,58
102,0.005983695795832911,0,59
84,0.0061215062855011215,0,60
55,0.006295559261927486,0,61
26,0.006317623323642274,0,62
44,0.006582431428477364,0,63
42,0.006740580085313419,0,64
78,0.006906160660695382,0,65
10,0.006929213372380616,0,66
2,0.0069899342632410155,0,67
88,0.007069875126018421,0,68
7,0.007168521877555789,0,69
62,0.007274432523556307,0,70
25,0.00737420066228478,0,71
95,0.007435401314577872,0,72
89,0.007579095720556928,0,73
101,0.008089351073261364,0,74
114,0.008118023250977768,0,75
11,0.00828839019850336,0,76
33,0.0089444034164059,0,77
9,0.009110924302578094,0,78
40,0.009571110073344768,0,79
106,0.009725992590984722,0,80
6,0.01144270840656647,0,81
98,0.01173372546984186,0,82
46,0.013648967433250059,0,83
38,0.014305769330856699,0,84
