datetime,equipment_load_kwh
2010-03-01 00:00:00,167.0
2010-03-01 01:00:00,165.6
2010-03-01 02:00:00,165.0
2010-03-01 03:00:00,165.0
2010-03-01 04:00:00,169.4
2010-03-01 05:00:00,166.6
2010-03-01 06:00:00,160.6
2010-03-01 07:00:00,172.7
2010-03-01 08:00:00,182.6
2010-03-01 09:00:00,223.7
2010-03-01 10:00:00,226.6
2010-03-01 11:00:00,228.1
2010-03-01 12:00:00,223.1
2010-03-01 13:00:00,219.7
2010-03-01 14:00:00,220.4
2010-03-01 15:00:00,232.8
2010-03-01 16:00:00,224.4
2010-03-01 17:00:00,205.2
2010-03-01 18:00:00,170.3
2010-03-01 19:00:00,164.7
2010-03-01 20:00:00,163.7
2010-03-01 21:00:00,167.0
2010-03-01 22:00:00,164.4
2010-03-01 23:00:00,166.5
2010-03-02 00:00:00,164.4
2010-03-02 01:00:00,162.4
2010-03-02 02:00:00,165.0
2010-03-02 03:00:00,166.8
2010-03-02 04:00:00,169.0
2010-03-02 05:00:00,168.7
2010-03-02 06:00:00,172.3
2010-03-02 07:00:00,173.1
2010-03-02 08:00:00,219.4
2010-03-02 09:00:00,295.9
2010-03-02 10:00:00,313.1
2010-03-02 11:00:00,299.6
2010-03-02 12:00:00,296.2
2010-03-02 13:00:00,294.7
2010-03-02 14:00:00,292.6
2010-03-02 15:00:00,298.9
2010-03-02 16:00:00,285.3
2010-03-02 17:00:00,265.2
2010-03-02 18:00:00,259.5
2010-03-02 19:00:00,261.1
2010-03-02 20:00:00,253.3
2010-03-02 21:00:00,192.2
2010-03-02 22:00:00,167.5
2010-03-02 23:00:00,171.6
2010-03-03 00:00:00,171.3
2010-03-03 01:00:00,169.8
2010-03-03 02:00:00,174.6
2010-03-03 03:00:00,171.8
2010-03-03 04:00:00,174.1
2010-03-03 05:00:00,171.2
2010-03-03 06:00:00,171.9
2010-03-03 07:00:00,175.7
2010-03-03 08:00:00,219.9
2010-03-03 09:00:00,305.2
2010-03-03 10:00:00,315.8
2010-03-03 11:00:00,313.9
2010-03-03 12:00:00,316.3
2010-03-03 13:00:00,316.8
2010-03-03 14:00:00,308.1
2010-03-03 15:00:00,315.4
2010-03-03 16:00:00,309.9
2010-03-03 17:00:00,256.5
2010-03-03 18:00:00,174.4
2010-03-03 19:00:00,169.5
2010-03-03 20:00:00,173.1
2010-03-03 21:00:00,171.1
2010-03-03 22:00:00,171.2
2010-03-03 23:00:00,174.3
2010-03-04 00:00:00,168.0
2010-03-04 01:00:00,170.0
2010-03-04 02:00:00,176.5
2010-03-04 03:00:00,171.9
2010-03-04 04:00:00,174.3
2010-03-04 05:00:00,179.8
2010-03-04 06:00:00,175.3
2010-03-04 07:00:00,182.1
2010-03-04 08:00:00,221.5
2010-03-04 09:00:00,295.4
2010-03-04 10:00:00,308.4
2010-03-04 11:00:00,318.9
2010-03-04 12:00:00,317.4
2010-03-04 13:00:00,325.8
2010-03-04 14:00:00,328.2
2010-03-04 15:00:00,322.5
2010-03-04 16:00:00,313.9
2010-03-04 17:00:00,262.6
2010-03-04 18:00:00,191.4
2010-03-04 19:00:00,178.4
2010-03-04 20:00:00,189.5
2010-03-04 21:00:00,180.5
2010-03-04 22:00:00,180.1
2010-03-04 23:00:00,183.1
2010-03-05 00:00:00,185.6
2010-03-05 01:00:00,184.1
2010-03-05 02:00:00,191.2
2010-03-05 03:00:00,186.7
2010-03-05 04:00:00,190.1
2010-03-05 05:00:00,189.7
2010-03-05 06:00:00,193.9
2010-03-05 07:00:00,191.3
2010-03-05 08:00:00,228.4
2010-03-05 09:00:00,315.5
2010-03-05 10:00:00,318.8
2010-03-05 11:00:00,311.2
2010-03-05 12:00:00,310.4
2010-03-05 13:00:00,311.5
2010-03-05 14:00:00,310.6
2010-03-05 15:00:00,322.0
2010-03-05 16:00:00,312.5
2010-03-05 17:00:00,249.4
2010-03-05 18:00:00,169.3
2010-03-05 19:00:00,172.9
2010-03-05 20:00:00,163.4
2010-03-05 21:00:00,168.8
2010-03-05 22:00:00,175.6
2010-03-05 23:00:00,163.3
2010-03-06 00:00:00,166.8
2010-03-06 01:00:00,170.8
2010-03-06 02:00:00,155.0
2010-03-06 03:00:00,162.7
2010-03-06 04:00:00,168.4
2010-03-06 05:00:00,155.4
2010-03-06 06:00:00,161.0
2010-03-06 07:00:00,170.9
2010-03-06 08:00:00,187.7
2010-03-06 09:00:00,261.9
2010-03-06 10:00:00,275.0
2010-03-06 11:00:00,272.6
2010-03-06 12:00:00,273.9
2010-03-06 13:00:00,288.6
2010-03-06 14:00:00,288.9
2010-03-06 15:00:00,301.3
2010-03-06 16:00:00,308.3
2010-03-06 17:00:00,266.9
2010-03-06 18:00:00,188.2
2010-03-06 19:00:00,185.3
2010-03-06 20:00:00,194.8
2010-03-06 21:00:00,189.9
2010-03-06 22:00:00,189.5
2010-03-06 23:00:00,190.6
2010-03-07 00:00:00,186.7
2010-03-07 01:00:00,193.5
2010-03-07 02:00:00,192.7
2010-03-07 03:00:00,196.7
2010-03-07 04:00:00,197.6
2010-03-07 05:00:00,198.6
2010-03-07 06:00:00,197.8
2010-03-07 07:00:00,196.7
2010-03-07 08:00:00,209.3
2010-03-07 09:00:00,257.5
2010-03-07 10:00:00,259.1
2010-03-07 11:00:00,288.3
2010-03-07 12:00:00,285.1
2010-03-07 13:00:00,292.3
2010-03-07 14:00:00,300.2
2010-03-07 15:00:00,301.9
2010-03-07 16:00:00,293.4
2010-03-07 17:00:00,254.0
2010-03-07 18:00:00,192.6
2010-03-07 19:00:00,191.3
2010-03-07 20:00:00,192.2
2010-03-07 21:00:00,190.8
2010-03-07 22:00:00,193.4
2010-03-07 23:00:00,191.7
2010-03-08 00:00:00,191.6
2010-03-08 01:00:00,192.1
2010-03-08 02:00:00,191.5
2010-03-08 03:00:00,194.6
2010-03-08 04:00:00,192.6
2010-03-08 05:00:00,194.7
2010-03-08 06:00:00,184.4
2010-03-08 07:00:00,196.4
2010-03-08 08:00:00,224.5
2010-03-08 09:00:00,256.9
2010-03-08 10:00:00,253.1
2010-03-08 11:00:00,255.0
2010-03-08 12:00:00,254.8
2010-03-08 13:00:00,251.8
2010-03-08 14:00:00,252.7
2010-03-08 15:00:00,249.5
2010-03-08 16:00:00,243.7
2010-03-08 17:00:00,222.9
2010-03-08 18:00:00,187.2
2010-03-08 19:00:00,177.9
2010-03-08 20:00:00,179.9
2010-03-08 21:00:00,176.6
2010-03-08 22:00:00,178.5
